PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,id,HelpRow,name_bnetza,block_bnetza,name_uba,company,street,postcode,city,state,country_code,capacity_net_bnetza,capacity_gross_uba,fuel,technology,chp,chp_capacity_uba,commissioned,commissioned_original,retrofit,shutdown,status,type,lat,lon,eic_code_plant,eic_code_block,efficiency_data,efficiency_source,efficiency_estimate,energy_source_level_1,energy_source_level_2,energy_source_level_3,eeg,network_node,voltage,network_operator,merge_comment,comment
20,Müllverwertung Borsigstraße MVB_BNA0399,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0399,#NV,Müllverwertung Borsigstraße MVB,,,MVB Müllverwertung Borsigstraße GmbH,Borsigstraße 3,22113,Hamburg,Hamburg,DE,20,,Biomass and biogas,Steam turbine,yes,,2005,2005,,,operating,,53.53188044,10.07459164,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Billbrook  KS 80121 und Horn  KS 80128 ,110,Stromnetz Hamburg GmbH,,
16.8,Enertec Hameln_BNA0408,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0408,#NV,Enertec Hameln,Block 7,,Enertec Hameln GmbH,,31789,Hameln,Niedersachsen,DE,16.8,,Biomass and biogas,Steam turbine,no,,2002,2002,,,operating,,52.09875,9.38821,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UW Afferde,30,Westfalen Weser Netz GmbH,,
18.6,Energieanlage 3_BNA1398,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1398,#NV,Energieanlage 3,,,SWISS KRONO GmbH,Wittstocker Chaussee 1,16909,Heiligengrabe,Brandenburg,DE,18.6,,Biomass and biogas,Steam turbine,yes,,2002,2002,,,operating,,53.148966,12.379742,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UW Heiligengrabe,10,E.DIS AG,,
14,Bio HKW Herbrechtingen_BNA1501,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1501,#NV,Bio HKW Herbrechtingen,,,Biomasse-Heizkraftwerk-Herbrechtingen GmbH,Oskar-von-Miller-Weg 1,89542,Herbrechtingen,Baden-Württemberg,DE,14,,Biomass and biogas,Steam turbine,yes,,2004,2004,,,operating,,48.628498,10.200853,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Umspannwerk Giengen,110,Netze BW GmbH,,
78,Stora Enso Maxau_BNA0520,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0520,#NV,Stora Enso Maxau,,,Stora Enso Maxau GmbH,,76187,Karlsruhe,Baden-Württemberg,DE,78,,Biomass and biogas,Steam turbine,yes,,2010,2010,,,operating,,49.0393,8.31134,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,no,DE00032776187ES000125501100010000,110,Stadtwerke Karlsruhe Netzservice GmbH,,
17.1,BMKW Königs Wusterhausen_BNA0549,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0549,#NV,BMKW Königs Wusterhausen,,,MVV Energie AG,Am Nordhafen 12,15711,Königs Wusterhausen,Brandenburg,DE,17.1,,Biomass and biogas,Steam turbine,no,,2003,2003,,,operating,,52.30479,13.63603,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,20,E.DIS AG,,
15.1,BMHKW-BinderHolz_BNA0553,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0553,#NV,BMHKW-BinderHolz,,,BinderHolz Deutschland GmbH,Einsteinstraße 9,85092,Kösching,Bayern,DE,15.1,,Biomass and biogas,Steam turbine,yes,,2007,2007,,,operating,,48.79123,11.50679,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UW GROM,110,Bayernwerk AG,,
17.8,BioEnergie Park Klarsee_BNA1522,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1522,#NV,BioEnergie Park Klarsee,,,Geno Bioenergie Leasingfonds Erste GmbH & Co. KG,Ernst-Röwer-Ring 2,17329,Krackow,Mecklenburg-Vorpommern,DE,17.8,,Biomass and biogas,Steam turbine,yes,,2006,2006,,,operating,,53.320352,14.271028,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UW Bertikow,220,50Hertz Transmission GmbH,,
22,Landesbergen Biomasse_BNA0573,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0573,#NV,Landesbergen Biomasse,,,Statkraft Markets GmbH,,31628,Landesbergen,Niedersachsen,DE,22,,Biomass and biogas,Steam turbine,no,,2005,2005,,,operating,,52.57703,9.11009,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,110,Avacon AG,,
20,BMK Lünen _BNA0617,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0617,#NV,BMK Lünen ,,,STEAG New Energies GmbH,Josef Rethmann Straße 4,44536,Lünen,Nordrhein-Westfalen,DE,20,,Biomass and biogas,Steam turbine,no,,2006,2006,,,operating,,51.61403992,7.481253974,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,10,Stadtwerke Lünen GmbH,,
9.8,Biomasse-Heizkraftwerk Malchin_BNA0628,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0628,#NV,Biomasse-Heizkraftwerk Malchin,,,envia THERM GmbH,,17139,Malchin,Mecklenburg-Vorpommern,DE,9.8,,Biomass and biogas,Steam turbine,yes,,2003,2003,,,operating,,53.74186,12.78302,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UW Malchin,20,E.DIS AG,,
17.9,BMKW Mannheim_BNA0636,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0636,#NV,BMKW Mannheim,,,MVV Energie AG,Otto-Hahn-Str. 1,68169,Mannheim,Baden-Württemberg,DE,17.9,,Biomass and biogas,Steam turbine,no,,2003,2003,,,operating,,49.51644467,8.460246482,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,H80,20,Netrion GmbH,,
40,SCA Mannheim_BNA0637,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0637,#NV,SCA Mannheim,SCA Mannheim,,SCA HYGIENE PRODUCTS GmbH,Sandhofer Straße 176,68305,Mannheim,Baden-Württemberg,DE,40,,Biomass and biogas,Steam turbine,yes,,2000,1966 / 2000,,,operating,,49.5349,8.46358,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,110,Netrion GmbH,,
15.6,KWK Neumarkt_BNA0692,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0692,#NV,KWK Neumarkt,,,Pfleiderer Neumarkt GmbH,Dreichlinger Str. 76,92318,Neumarkt i.d. Oberpfalz,Bayern,DE,15.6,,Biomass and biogas,Steam turbine,yes,,1997,1997,,,operating,,49.26133,11.4516,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Übergabe KWK,10,Stadtwerke Neumarkt i.d.OPf.,,
20,Biomasse-HKW_BNA0775,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0775,#NV,Biomasse-HKW,,,B+S Papenburg Energie GmbH,Am Nordhafen 5,26871,Papenburg,Niedersachsen,DE,20,,Biomass and biogas,Steam turbine,no,,2003,2003,,,operating,,53.09716,7.3954,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Vüllner Dorfstraße,20,EWE NETZ GmbH,,
12.3,Heizkraftwerk Pforzheim GmbH_BNA0797,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0797,#NV,Heizkraftwerk Pforzheim GmbH,Biomasse,,Heizkraftwerk Pforzheim GmbH,Hohwiesenweg 15,75175,Pforzheim,Baden-Württemberg,DE,12.3,,Biomass and biogas,Steam turbine,yes,,2004,2004,,,operating,,48.89705,8.725,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Hohwiesenweg,110,Stadtwerke Pforzheim GmbH und Co. KG,,
15,BMHKW-RE Recklinghausen_BNA0826,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0826,#NV,BMHKW-RE Recklinghausen,BMHKW-RE Recklinghausen,,Ökotech Ingenieurgesellschaft mbh,Maria-May-Straße 1,45665,Recklinghausen,Nordrhein-Westfalen,DE,15,,Biomass and biogas,Steam turbine,yes,,2004,2004,,,operating,,51.604008,7.250848,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UA-Katharinenstraße,110,Westnetz GmbH,,
13.3,UPM Schwedt_BNA1256,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1256,#NV,UPM Schwedt,Dampfturbine,,LEIPA Georg Leinfelder GmbH,Kuhheide 1,16306,Schwedt,Brandenburg,DE,13.3,,Biomass and biogas,Steam turbine,yes,,1993,1993,,,operating,,53.08672,14.31935,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,no,UW Haindl,110,E.DIS AG,,
14,Heizkraftwerk der Sappi Stockstadt GmbH_BNA0926a,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0926a,#NV,Heizkraftwerk der Sappi Stockstadt GmbH,Biomasseheizkraftwerk,,Sappi Stockstadt GmbH,Obernburger Straße 1-9,63811,Stockstadt,Bayern,DE,14,,Biomass and biogas,Steam turbine,yes,,2003,2003,,,operating,,49.97745,9.06872,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Primär Kundenanlage zur betrieblichen Eigenversorgung ; Verbindung mit Netz der allgemeinen Versorgung über Trafo 11 (110/20kV),110,Westnetz GmbH,,
8.7,BioHKW I_BNA1405b,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1405b,#NV,BioHKW I,,,Fernwärme Ulm GmbH,Magirusstr. 21,89077,Ulm,Baden-Württemberg,DE,8.7,,Biomass and biogas,Steam turbine,yes,,2003,2003,,,operating,,48.39704,9.96484,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,SWU 4,10,Stadtwerke Ulm/Neu-Ulm Netze GmbH ,,
4.5,BioHKW II_BNA1405c,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1405c,#NV,BioHKW II,,,Fernwärme Ulm GmbH,Magirusstr. 21,89077,Ulm,Baden-Württemberg,DE,4.5,,Biomass and biogas,Steam turbine,yes,,2012,2012,,,operating,,48.39704,9.96484,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,SWU 5,10,Stadtwerke Ulm/Neu-Ulm Netze GmbH ,,
1.9,PKV Kraftwerk_BNA1335c,DE,ICEN,BIO,0.4504,0,0,1,1,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1335c,#NV,PKV Kraftwerk,Biogasmotoren,,Papier- u. Kartonfabrik Varel GmbH & Co. KG,Dangaster Straße 38,26316,Varel,Niedersachsen,DE,1.9,,Biomass and biogas,Combustion Engine,yes,,2006,2006,,,operating,,53.40317,8.12821,,,,,0.4504,Renewable energy,Bioenergy,Biomass and biogas,yes,,20,EWE NETZ GmbH,,
6.7,Wi-Biebrich_BNA1055,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1055,#NV,Wi-Biebrich,Block 2,,InfraServ GmbH & Co. Wiesbaden KG,,65203,Wiesbaden,Hessen,DE,6.7,,Biomass and biogas,Steam turbine,yes,,2006,2003 / 2006,,,operating,,50.040546,8.253248,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,"Station 25,G347",10,InfraServ GmbH & Co. Wiesbaden KG,,
18.1,Biomasseheizkraftwerk Piesteritz_BNA0621,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0621,#NV,Biomasseheizkraftwerk Piesteritz,,,Stadtwerke Leipzig GmbH,,6886,Wittenberg/ Piesteritz,Sachsen-Anhalt,DE,18.1,,Biomass and biogas,Steam turbine,yes,,2009,2009,,,operating,,51.870883,12.569466,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,"Dessauer Str. 124R, 06886 Lutherstadt Wittenberg",110,Mitteldeutsche Netzgesellschaft Strom mbH,,
10,Zolling_BNA1091,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA1091,#NV,Zolling,BMHKW,,ENGIE Deutschland AG,Leininger Str. 1,85406,Zolling,Bayern,DE,10,,Biomass and biogas,Steam turbine,yes,,2003,2003,,,operating,,48.45534,11.8019,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,110-kV-Schaltfeld E05 / LS 173,110,Bayernwerk AG,,
336,Heizkraftwerk Altbach/Deizisau_BNA0019,DE,STUR,HRD,0.44,9.558732394,7.812253521,0.040224969,0.040224969,117242.17,0,0,0.3,0.395,7,0.95,,280,,,,,BNA0019,#NV,Heizkraftwerk Altbach/Deizisau,ALT HKW 2 (DT Solobetrieb),Altbach/Deizisau HKW 1,EnBW Energie Baden-Württemberg AG,Industriestraße 11,73776,Altbach,Baden-Württemberg,DE,336,476,Hard coal,Steam turbine,yes,280,1997,1997,2006,,operating,CHP,48.717611,9.374917,11WD4AL1KU1-S--E,11WD4AL1U1C2---O,0.44,http://www.feuerwehr-oberboihingen.de/index.php?id=210&tx_ttnews[tt_news]=452&cHash=d8aa7375c5ed6e4b398f9bee5e270dbb,0.44,Fossil fuels,Hard coal,,no,Altbach,380,Transnet BW GmbH,List matching type: Single UBA power plant assigned to single BNetzA power plant,
