,PHOT,WTOF,WTON,HROR
2015-01-03 23:00:00+00:00,0,0.297960259,0.475860745,0.315806734
2015-01-04 00:00:00+00:00,0,0.297495581,0.49926424,0.337396152
2015-01-04 01:00:00+00:00,0,0.296162522,0.504014477,0.353574552
2015-01-04 02:00:00+00:00,0,0.291645499,0.50845629,0.359969392
2015-01-04 03:00:00+00:00,0,0.292339467,0.511904379,0.366036292
2015-01-04 04:00:00+00:00,0,0.29173072,0.500667788,0.370190206
2015-01-04 05:00:00+00:00,0,0.288517845,0.498216034,0.369698295
2015-01-04 06:00:00+00:00,0,0.286752167,0.480895101,0.365161784
2015-01-04 07:00:00+00:00,0.00155588,0.288892897,0.480869275,0.360406646
2015-01-04 08:00:00+00:00,0.026127929,0.284379352,0.460390083,0.356416703
2015-01-04 09:00:00+00:00,0.074332795,0.287966317,0.447633527,0.352700044
2015-01-04 10:00:00+00:00,0.111344376,0.289817112,0.449725293,0.349639265
2015-01-04 11:00:00+00:00,0.1228383,0.280821921,0.448925608,0.342588544
2015-01-04 12:00:00+00:00,0.107098188,0.272552005,0.444405395,0.337669436
2015-01-04 13:00:00+00:00,0.064949316,0.282933584,0.429409072,0.334991255
2015-01-04 14:00:00+00:00,0.025536993,0.278567932,0.400949638,0.333351552
2015-01-04 15:00:00+00:00,0.002246547,0.265241302,0.376403062,0.331602536
2015-01-04 16:00:00+00:00,0,0.268249571,0.363470217,0.334554001
2015-01-04 17:00:00+00:00,0,0.271401795,0.363767706,0.341823349
2015-01-04 18:00:00+00:00,0,0.247820256,0.377774682,0.342752514
2015-01-04 19:00:00+00:00,0,0.24374936,0.374399771,0.339691736
2015-01-04 20:00:00+00:00,0,0.234622547,0.346141489,0.336029733
2015-01-04 21:00:00+00:00,0,0.268979746,0.327626058,0.336357674
2015-01-04 22:00:00+00:00,0,0.266063658,0.327040143,0.332149104
2015-01-04 23:00:00+00:00,0,0.273691269,0.324412664,0.331001312
2015-01-05 00:00:00+00:00,0,0.268464603,0.323100612,0.328924355
2015-01-05 01:00:00+00:00,0,0.266559986,0.334441996,0.326956712
2015-01-05 02:00:00+00:00,0,0.260035738,0.336397665,0.32362265
2015-01-05 03:00:00+00:00,0,0.261885741,0.358809276,0.320999125
2015-01-05 04:00:00+00:00,0,0.264602222,0.394846221,0.319250109
2015-01-05 05:00:00+00:00,0,0.248409335,0.411015931,0.315916047
2015-01-05 06:00:00+00:00,0,0.228755857,0.409922253,0.311434193
2015-01-05 07:00:00+00:00,0.00248775,0.193665189,0.409171109,0.310723655
2015-01-05 08:00:00+00:00,0.028364241,0.186286332,0.394383769,0.310013118
2015-01-05 09:00:00+00:00,0.080090029,0.191605519,0.366588246,0.310395715
2015-01-05 10:00:00+00:00,0.127932836,0.205724043,0.328703087,0.308974639
2015-01-05 11:00:00+00:00,0.157429187,0.237294566,0.294456122,0.308919983
2015-01-05 12:00:00+00:00,0.151983619,0.223135405,0.258654963,0.310778312
2015-01-05 13:00:00+00:00,0.109833178,0.184317059,0.208230058,0.309849147
2015-01-05 14:00:00+00:00,0.047942817,0.157763929,0.163758733,0.311434193
2015-01-05 15:00:00+00:00,0.00530386,0.113048124,0.135344182,0.304438129
2015-01-05 16:00:00+00:00,0,0.089102554,0.120951538,0.302306515
2015-01-05 17:00:00+00:00,0,0.090390641,0.112764941,0.303126366
2015-01-05 18:00:00+00:00,0,0.125121807,0.102475741,0.303181023
2015-01-05 19:00:00+00:00,0,0.099165269,0.083364658,0.302962396
2015-01-05 20:00:00+00:00,0,0.090507314,0.068370468,0.301595977
2015-01-05 21:00:00+00:00,0,0.100153239,0.053397154,0.30121338
2015-01-05 22:00:00+00:00,0,0.110517931,0.044382981,0.301432007
2015-01-05 23:00:00+00:00,0,0.103590947,0.035958049,0.302033231
2015-01-06 00:00:00+00:00,0,0.092343707,0.02761548,0.302142545
2015-01-06 01:00:00+00:00,0,0.083115304,0.020704535,0.301268037
2015-01-06 02:00:00+00:00,0,0.078641906,0.018971528,0.301104066
2015-01-06 03:00:00+00:00,0,0.087563011,0.020847902,0.297278094
2015-01-06 04:00:00+00:00,0,0.100514176,0.025696608,0.295911675
2015-01-06 05:00:00+00:00,0,0.114758754,0.033455906,0.295419764
2015-01-06 06:00:00+00:00,0,0.133895915,0.043180594,0.29498251
2015-01-06 07:00:00+00:00,0.004907819,0.13560989,0.053233799,0.294654569
2015-01-06 08:00:00+00:00,0.055112152,0.133149133,0.065519386,0.294162659
2015-01-06 09:00:00+00:00,0.125872317,0.150119142,0.077085634,0.29328815
2015-01-06 10:00:00+00:00,0.178562909,0.165359458,0.086371126,0.292195015
2015-01-06 11:00:00+00:00,0.19503503,0.167357197,0.08532926,0.291703105
2015-01-06 12:00:00+00:00,0.170314512,0.162160349,0.095607433,0.290391342
2015-01-06 13:00:00+00:00,0.106145159,0.166891598,0.110966694,0.287549191
2015-01-06 14:00:00+00:00,0.041661364,0.186151486,0.133050378,0.286947967
2015-01-06 15:00:00+00:00,0.004364568,0.214182089,0.172595871,0.285472234
2015-01-06 16:00:00+00:00,0,0.231707455,0.21162006,0.285362921
2015-01-06 17:00:00+00:00,0,0.226363213,0.246760727,0.286182772
2015-01-06 18:00:00+00:00,0,0.223032598,0.252510147,0.285417578
2015-01-06 19:00:00+00:00,0,0.243571277,0.255540927,0.28470704
2015-01-06 20:00:00+00:00,0,0.231757267,0.243787671,0.285909488
2015-01-06 21:00:00+00:00,0,0.259047675,0.253207186,0.286292086
2015-01-06 22:00:00+00:00,0,0.272964002,0.249739637,0.285417578
